IPC 코드,IPC 구분,IPC 한글설명,IPC 영문설명, 
A01L,Subclass,동물의 장제(Shoeing of animals),SHOEING OF ANIMALS, 
A01M,Subclass,"동물의 포획, 덫을 놓아 잡기 또는 몰기(곤충 떼를 잡거나 수벌을 잡기위한 장치 A01K-057/00 ; 어업 A01K-069/00 - A01K-097/00 ; 살충제, 해충 기피제 또는 유인 물질 A01N ); 유해한 동물 또는 유해한 식물의 구제장치 [2014.01]","CATCHING, TRAPPING OR SCARING OF ANIMALS appliances for catching swarms or drone-catching A01K-057/00 fishing biocides, pest repellants or attractants A01N ; APPARATUS FOR THE DESTRUCTION OF NOXIOUS ANIMALS OR NOXIOUS PLANTS", 
A01N,Subclass,"인간, 동물 또는 식물의 본체, 또는 그것들의 부분 보존; 살생물제(Biocides), 예, 살균제, 살충제 및 제초제로서(의료용, 치과용 또는 화장용 제제 A61K , 살균 또는 소독일반, 그 장치 A61L ); 유해생물 기피제 또는 유인제(유인물 A01M-031/06 ; 의약품 제제 A61K ); 식물생장조절제(화합물 일반 C01 , C07 , C08 ; 비료, C05 ,토양조절제 또는 안정제 C09K-017/00 )","PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF preservation of food or foodstuff A23 ; BIOCIDES, e.g. AS DISINFECTANTS, AS PESTICIDES OR AS HERBICIDES preparations for medical, dental or toilet purposes which kill or prevent the growth or proliferation of unwanted organisms A61K ; PEST REPELLANTS OR ATTRACTANTS ; PLANT GROWTH REGULATORS mixtures of pesticides with fertilisers C05G", 
A01P,Subclass,"화합물 또는 조성물의 살생물, 유해 생물 기피, 유해 생물 유인 또는 식물 생장 조절 활성 [8]","BIOCIDAL, PEST REPELLANT, PEST ATTRACTANT OR PLANT GROWTH REGULATORY ACTIVITY OF CHEMICAL COMPOUNDS OR PREPARATIONS", 
A21,Class ,"제빵；반죽 제조 또는 가공의 기계 혹은 설비；제빵용 반죽 [1,8]",BAKING ; EQUIPMENT FOR MAKING OR PROCESSING DOUGHS ; DOUGHS FOR BAKING, 
A21B,Subclass,"제빵용 오븐(Oven); 제빵용 기계 또는 장치(가정용 제빵장치 A47J-037/00 ; 연소장치 F23 ; 가정용 스토브(stove)또는 레인지(range)로서 전체적 또는 부분적으로 오븐인 것 F24B , F24C )","BAKERS"" OVENS ; MACHINES OR EQUIPMENT FOR BAKING domestic baking equipment A47J-037/00 combustion apparatus F23 domestic stoves or ranges being wholly or partly ovens F24B , F24C", 
A21C,Subclass,가루반죽 제조와 가공용 기계 및 설비; 가루반죽으로 제 조된 빵류의 취급,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS ; HANDLING BAKED ARTICLES MADE FROM DOUGH, 
A21D,Subclass,"제빵용 곡분 또는 반죽의 처리; 제빵; 빵류; 그것들의 저장 [1,8]","TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH FOR BAKING, e.g. BY ADDITION OF MATERIALS ; BAKING ; BAKERY PRODUCTS ; PRESERVATION THEREOF", 
A22,Class ,도살; 육(肉) 처리; 가금류 또는 어류의 가공,BUTCHERING ; MEAT TREATMENT ; PROCESSING POULTRY OR FISH, 
A22B,Subclass,도살,SLAUGHTERING, 
A22C,Subclass,"식육, 가금 또는 어류의 가공(보존 A23B ; 식품용 단백질 조성물의 채취 A23J-001/00 ; 어류, 식육 또는 가금의 조제품 A23L ; 세단, 예. 식육의 절단 B02C-018/00 ; 단백질의 처리 C07K-001/00 )","PROCESSING MEAT, POULTRY, OR FISH preserving A23B obtaining protein compositions for foodstuffs A23J-001/00 fish, meat or poultry preparations A23L disintegrating, e.g. chopping meat, B02C-018/00 preparation of proteins C07K-001/00", 
A23,Class ,다른 클래스에 속하지 않는 그것들의 처리; 식품 또는 식료품,"FOODS OR FOODSTUFFS ; THEIR TREATMENT, NOT COVERED BY OTHER CLASSES", 
A23B,Subclass,"식육, 어류, 난류, 과일, 채소, 식용종자의 보존, 예.통조림에 의한 것; 과일 또는 야채의 화학적 숙성; 보존, 숙성 또는 통조림 제품","PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS ; CHEMICAL RIPENING OF FRUIT OR VEGETABLES ; THE PRESERVED, RIPENED, OR CANNED PRODUCTS", 
A23C,Subclass,"유제품, 예. 우유, 버터, 치즈; 우유 또는 치즈 대용품; 그것들의 제조(식품용 단백질 조성물의 제조 A23J-001/00 , 펩티드의 처리, 예. 단백질, 일반적으로 C07K-001/00 )","DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE ; MILK OR CHEESE SUBSTITUTES ; MAKING THEREOF obtaining protein compositions for foodstuffs A23J-001/00 preparation of peptides, e.g. of proteins, in general C07K-001/00", 
A23D,Subclass,"식용유지 예. 마가린, 쇼트닝(shortenings), 식용유(채취, 정제, 보존. C11B , C11C ; 수소첨가 C11C 3/12)","EDIBLE OILS OR FATS, e.g. MARGARINES, SHORTENINGS, COOKING OILS obtaining, refining, preserving C11B , C11C hydrogenation C11C-003/12", 
A23F,Subclass,"커피; 차(茶); 그것들의 대용품; 그것들의 제조, 조제 또는 다려내기","COFFEE ; TEA ; THEIR SUBSTITUTES ; MANUFACTURE, PREPARATION, OR INFUSION THEREOF", 
A23G,Subclass,"코코아；코코아 제품, 예.초콜릿；코코아 또는 코코아 제품의 대용품；과자；츄잉 껌；아이스크림；그러한 제조 [1,8]","COCOA ; COCOA PRODUCTS, e.g. CHOCOLATE ; SUBSTITUTES FOR COCOA OR COCOA PRODUCTS ; CONFECTIONERY ; CHEWING GUM ; ICE-CREAM ; PREPARATION THEREOF", 
A23J,Subclass,식품용 단백질 조성물; 식품용 혼합(working-up) 단백질; 식품용 인지질 조성물 [4],PROTEIN COMPOSITIONS FOR FOODSTUFFS ; WORKING-UP PROTEINS FOR FOODSTUFFS ; PHOSPHATIDE COMPOSITIONS FOR FOODSTUFFS, 
A23K,Subclass,동물을 위해 특히 적합한 먹이; 그것의 생산을 위해 특히 적합한 방법,FEEDING-STUFFS SPECIALLY ADAPTED FOR ANIMALS ; METHODS SPECIALLY ADAPTED FOR PRODUCTION THEREOF, 
A23L,Subclass,"A21D 또는 A23B 로부터 A23J 까지; 포함 되지 않는 식품, 식료품, 또는 비알콜성음료; 그 조제 또는 처리, 예. 가열 조리, 영양 개선, 물리적 처리(이 서브클래스에 완전하게 포함 되지 않는, 식품의 성형 또는 가공 A23P )；식품 또는 식료품의 보존 일반(제빵용 곡분 또는 반죽의 보존 A21D) [4,8]","FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A21D OR ; THEIR PREPARATION OR TREATMENT, e.g. COOKING, MODIFICATION OF NUTRITIVE QUALITIES, PHYSICAL TREATMENT shaping or working, not fully covered by this subclass, A23P ; PRESERVATION OF FOODS OR FOODSTUFFS, IN GENERAL preservation of flour or dough for baking A21D", 
A23N,Subclass,"달리 분류되지 않는 수확된 과일, 채소 또는 꽃의 구근을 대량으로 처리하기 위한 기계 또는 장치; 채소 또는 과일의 껍질을 벗기기 위한 것; 사료를 제조하기 위한 장치(짚 또는 목초를 절단하기 위한 기계 A01F-029/00 ; 쇄해, 예. 촌단 B02C ; 절단, 예. 단재, 얇은 조각(slice B26B , B26D ))","MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES, OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR ; PEELING VEGETABLES OR FRUIT IN BULK ; APPARATUS FOR PREPARING ANIMAL FEEDING-STUFFS machines for cutting straw or fodder A01F-029/00 disintegrating, e.g. shredding, B02C severing, e.g. cutting, splitting, slicing, B26B , B26D", 
A23P,Subclass,다른 단일의 서브클래스에는 완전히 포함되지 않는 식료품의 성형 또는 가공,"SHAPING OR WORKING OF FOODSTUFFS, NOT FULLY COVERED BY A SINGLE OTHER SUBCLASS", 
A24,Class ,담배; 엽권담배; 지권담배; 흡연용구,"TOBACCO ; CIGARS ; CIGARETTES ; SIMULATED SMOKING DEVICES ; SMOKERS"" REQUISITES", 
A24B,Subclass,흡연 또는 씹는담배의 제조 또는 처리; 담배; 코담배 (SNUFF),MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING ; TOBACCO ; SNUFF, 
A24C,Subclass,엽권담배 또는 지권담배의 제조장치,MACHINES FOR MAKING CIGARS OR CIGARETTES, 
A24D,Subclass,엽권담배; 지권담배; 담배필터; 엽권담배 또는 지권담배의 마우스피스; 담배필터 또는 마우스피스의 제조,CIGARS ; CIGARETTES ; TOBACCO SMOKE FILTERS ; MOUTHPIECES FOR CIGARS OR CIGARETTES ; MANUFACTURE OF TOBACCO SMOKE FILTERS OR MOUTHPIECES, 
A24F,Subclass,"흡연자 용구; 성냥 상자; 가상 흡연장치 (엽권, 담배 또는 파이프 모양의 의료용 흡입기구 A61M-015/06 )","SMOKERS’ REQUISITES ; MATCH BOXES ; SIMULATED SMOKING DEVICES inhaling appliances for medical purposes, shaped like cigars, cigarettes or pipes A61M-015/06", 
A41,Class ,의류,WEARING APPAREL, 
A41B,Subclass,셔츠; 속옷; 유아용 린네르(LINEN) 제품; 손수건,SHIRTS ; UNDERWEAR ; BABY LINEN ; HANDKERCHIEFS, 
A41C,Subclass,코르셋; 브래지어,CORSETS ; BRASSIÈRES, 
A41D,Subclass,겉옷; 보호복; 부속품,OUTERWEAR ; PROTECTIVE GARMENTS ; ACCESSORIES, 
A41F,Subclass,의복의 고정구; 거는 기구,GARMENT FASTENINGS ; SUSPENDERS, 
A41G,Subclass,조화; 가발; 마스크(가면); 깃털,ARTIFICIAL FLOWERS ; WIGS ; MASKS ; FEATHERS, 
A41H,Subclass,"달리 분류되지 않는 의류를 만들기 위한 기구 또는 방법, 예. 의복을 만들기 위한 것, 바느질을 위한 것(의복의 특수물품을 만들기 위한 기계, 기구 또는 방법 A41B ~ A41F 중 이들의 물품에 관련이 있는 그룹 참조; 절단공구 또는 기계 일반 B26 ; 직물제조, 조물제조, 레이스제조, 편물 제조술(tuft) 제조, 직물의 처리 D03 ~ D06 ; 미싱, 재봉기구, 봉목을 푸는 기구 D05B ; 직물재료의 절단 또는 기타 방법에 의한 분단 D06 H 7/00))","APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR machines, appliances or methods for making particular articles of apparel, see the relevant groups for these articles in cutting tools or machines in general B26 weaving, braiding, lace-making, knitting, tufting, treating of textiles sewing-machines, sewing appliances, seam-ripping devices D05B cutting or otherwise severing textile materials D06H-007/00", 
A42,Class ,두의,HEADWEAR, 
A42B,Subclass,"모자; 머리를 덮는 것(머리띠, 머리 스카프 A41D-020/00 , A41D-023/00 )","HATS ; HEAD COVERINGS headbands, head-scarves A41D-020/00 , A41D-023/00", 
A42C,Subclass,모자(hats) 또는 그 밖의 머리를 덮는 것의 제조 혹은 다듬질,MANUFACTURING OR TRIMMING HATS OR OTHER HEAD COVERINGS, 
A43,Class ,신발류,FOOTWEAR, 
A43B,Subclass,신발류의 특징적 모습; 신발류의 부분,CHARACTERISTIC FEATURES OF FOOTWEAR ; PARTS OF FOOTWEAR, 
A43C,Subclass,신발용 조임구 또는 부속품; 일반적인 구두끈,FASTENINGS OR ATTACHMENTS FOR FOOTWEAR ; LACES IN GENERAL, 
A43D,Subclass,"기계, 도구 , 장치, 제조방법 또는 신발수선","MACHINES, TOOLS, EQUIPMENT OR METHODS FOR MANUFACTURING OR REPAIRING FOOTWEAR sewing D05B", 
A44,Class ,장신구류; 귀금속 보석류,HABERDASHERY ; JEWELLERY, 
A44B,Subclass,"단추, 핀, 버클, 슬라이드 조임구(Slide fastener) 또는 그와 유사한 것(신발에 특히 적합한 조임구 A43C )","BUTTONS, PINS, BUCKLES, SLIDE FASTENERS, OR THE LIKE fastenings specially adapted for footwear A43C", 
A44C,Subclass,보석류 ; 팔찌 ; 그 외의 개인 장신구 ; 동전,JEWELLERY ; BRACELETS ; OTHER PERSONAL ADORNMENTS ; COINS, 
A45,Class ,소지품 또는 여행용품,HAND OR TRAVELLING ARTICLES, 
A45B,Subclass,"보행용 지팡이 (보행 보조기구, 예. 맹인용 지팡이 A61H-003/06 ); 우산; 부인용 또는 그와 유사한 부채 (지팡이 또는 우산용 지지대 또는 홀더 A47G-025/12 )","WALKING STICKS walking aids, e.g. sticks, for blind persons A61H-003/06 ; UMBRELLAS ; LADIES"" OR LIKE FANS cane or umbrella stands or holders A47G-025/12", 
A45C,Subclass,지갑；수화물；휴대용가방 [2014.01],PURSES ; LUGGAGE ; HAND CARRIED BAGS, 
A45D,Subclass,"이미용 또는 면도기구; 매니큐어 또는 그 외의 화장(가발, 입모 또는 그 유사물 A41G-003/00 , 5/00; 이발용 의자 A47C-001/04 ; 산발용구,면도 B26B )","HAIRDRESSING OR SHAVING EQUIPMENT ; MANICURING OR OTHER COSMETIC TREATMENT wigs, toupees, or the like A41G-003/00 , A41G-005/00 hairdressers"" chairs A47C-001/04 hair cutting appliances, razors B26B", 
A45F,Subclass,"여행 또는 야영 설비；몸으로 메고 옮기는 등산용 륙색 또는 팩(손에 휴대하는 가방 또는 수화물 A45C ) [1,8]",TRAVELLING OR CAMP EQUIPMENT ; SACKS OR PACKS CARRIED ON THE BODY, 
A46,Class ,브러시류,BRUSHWARE, 
A46B,Subclass,브러시(brush)(브러시(brush) 제품과 일체가 아닌 자루 B25G ),BRUSHES handles not integral with brushware B25G, 
A46D,Subclass,브러시(brush)의 제법,MANUFACTURE OF BRUSHES, 
A47,Class ,가구; 가정용품 또는 가정용 설비; 커피 빻는 기구; 향신료 빻는 기구; 진공청소기 일반,FURNITURE ; DOMESTIC ARTICLES OR APPLIANCES ; COFFEE MILLS ; SPICE MILLS ; SUCTION CLEANERS IN GENERAL, 
A47B,Subclass,테이블; 책상; 사무용 가구; 캐비넷; 장농; 가구의 일반적 세부(가구의 접속 F16B ),TABLES ; DESKS ; OFFICE FURNITURE ; CABINETS ; DRAWERS ; GENERAL DETAILS OF FURNITURE jointing of furniture  F16B-012/00, 
A47C,Subclass,의자(차량에 특히 적합한 좌석 B60N-002/00 ); 소파; 침대(충전물 일반 B68G ),CHAIRS seats specially adapted for vehicles B60N-002/00 ; SOFAS ; BEDS upholstery in general B68G, 
A47D,Subclass,"아동용에 특히 적합한 가구(학교용 벤치 또는 책상 A47B-039/00 , 41/00)","FURNITURE SPECIALLY ADAPTED FOR CHILDREN school benches or desks A47B-039/00 , A47B-041/00", 
A47F,Subclass,"상점, 창고, 술집, 요리집 또는 유사한 장소에서 쓰이는 특수한 가구, 비품 또는 부속품; 지불 카운터","SPECIAL FURNITURE, FITTINGS, OR ACCESSORIES FOR SHOPS, STOREHOUSES, BARS, RESTAURANTS, OR THE LIKE ; PAYING COUNTERS", 
A47G,Subclass,가정용구 또는 식탁용구(책꽂이(Bookend) A47B-065/00 ; 나이프 B26B ),HOUSEHOLD OR TABLE EQUIPMENT book-ends A47B-065/00 knives B26B, 
A47H,Subclass,창문 또는 문의 부대설비(문 또는 창문의 기능에 관한 것 E05 ; 롤러식 차일 E06B ),"FURNISHINGS FOR WINDOWS OR DOORS concerned with the functioning of the door or window E05 roller blinds E06B special arrangements or measures in connection with doors or windows, e.g. for ventilation or sealing, E06B-007/00", 
A47J,Subclass,"주방 장비, 커피 분쇄기, 향신료 분쇄기, 음료를 만드는 장치[6]",KITCHEN EQUIPMENT ; COFFEE MILLS ; SPICE MILLS ; APPARATUS FOR MAKING BEVERAGES, 
A47K,Subclass,"달리 분류되지 않는 위생설비(결수 또는 배수관과 연결되어 있는 것, 싱크 B03C ; 변기 E03D ); 화장실 용구(화장용구 A45D )","SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR connecting to water supply or waste pipe, sinks E03C water-closets E03D ; TOILET ACCESSORIES cosmetic equipment A45D", 
A47L,Subclass,"가정의 세정 또는 청정(브러시 A46B ; 한 종류의 다량의 병 또는 그 밖의 속이 빈 용기의 청정 B08 B-009/00""> B08 B-009/00 ; 세탁; D06F ); 흡입청소기 일반(청소 일반 B08 )",DOMESTIC WASHING OR CLEANING brushes A46B cleaning quantities of bottles or of other hollow articles of one kind B08B-009/00 laundry D06F ; SUCTION CLEANERS IN GENERAL cleaning in general B08, 
A61,Class ,위생학; 의학 또는 수의학,MEDICAL OR VETERINARY SCIENCE ; HYGIENE, 
A61B,Subclass,진단; 수술; 개인 식별(생물학적 재료의 분석 G01N 예 G01N 33/48; 광파 이외의 파를 이용한 기록의 작성 일반 G03B-042/00 ),"DIAGNOSIS ; SURGERY ; IDENTIFICATION analysing biological material G01N , e.g. G01N-033/48", 
A61C,Subclass,치과; 구강 또는 치과용 위생(치솔 A46B ; 치과용 제제 A46K 6/00),"DENTISTRY ; APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE non-driven toothbrushes A46B preparations for dentistry A61K-006/00  preparations for cleaning the teeth or mouth A61K-008/00 , A61Q-011/00", 
A61D,Subclass,"수의용 기구, 기계, 기구 또는 용법","VETERINARY INSTRUMENTS, IMPLEMENTS, TOOLS, OR METHODS", 
A61F,Subclass,"혈관에 이식할 수 있는 필터; 보철; 인체의 관상 구조를 개존 시키는 또는 붕괴를 방지하는 장치, 예. 스텐트; 정형외과 , 간호 또는 피임 용구; 찜질; 눈 또는 귀의 치료 또는 보호; 붕대; 피복 용품 또는 흡수성 패드; 구급 상자 (치과용 보철 A61C )","FILTERS IMPLANTABLE INTO BLOOD VESSELS ; PROSTHESES ; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS ; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES ; FOMENTATION ; TREATMENT OR PROTECTION OF EYES OR EARS ; BANDAGES, DRESSINGS OR ABSORBENT PADS ; FIRST-AID KITS dental prosthetics A61C", 
A61G,Subclass,"환자 또는 신체장애자에 특히 적합한 수송, 탈 것, 또는 설비；수술대 또는 의자；치과용 의자；장의 용구(의자 또는 침대 일반 A47C ；보행 보조 기구 A61H-003/00 , 환자, 신체장애자 또는 휠체어 이용자용의, 계단에 부설된 경사용 리프트 B66B-009/08 )","TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS appliances for aiding patients or disabled persons to walk A61H-003/00 ; OPERATING TABLES OR CHAIRS ; CHAIRS FOR DENTISTRY ; FUNERAL DEVICES embalming corpses A01N-001/00", 
A61H,Subclass,"물리적인 치료 장치, 예. 인체의 급소의 위치를 검출 또는 자극하는 장치；인공 호흡；맛사지；특별한 치료 또는 인체의 특정의 부분을 위한 입욕 장치(전기 치료, 자기 치료, 방사선 치료, 초음파 치료 A61N )","PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY ; ARTIFICIAL RESPIRATION ; MASSAGE ; BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY electrotherapy, magnetotherapy, radiation therapy, ultrasound therapy A61N", 
A61J,Subclass,의료 또는 제제 목적을 위해 특히 적합한 용기; 의약품을 특정의 물리적 형태 또는 복용형태로 하기 위해 특히 적합한 장치 또는 방법; 식품 또는 의약품의 경구투여장치; 어린이 장난감 고무젖꼭지; 타구,CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES ; DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS ; DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY ; BABY COMFORTERS ; DEVICES FOR RECEIVING SPITTLE, 
A61K,Subclass,"의약용, 치과용 또는 화장용 제제(특별한 물리적 형태로 하는 것 A61J ; 공기탈취, 살균, 소독, 붕대, 드레싱, 흡수성 패드 또는 외과용품을 위한 재료의 화학적인 사항 또는 재료의 사용 A61L ; 화합물 그 자체가 C01 , C07 , C08 , C12N ; 비누의 조성 C11D ; 미생물 그자체 C12N )","PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J-003/00 chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L  soap compositions C11D", 
A61L,Subclass,"재료 또는 물건을 살균하기 위한 방법 또는 장치 일반; 공기의 소독, 살균 또는 탈취; 붕대, 피복용품, 흡수성 패드 또는 수술용품의 화학적 사항; 붕대, 피복용품, 흡수성 패드, 또는 수술용 물품을 위한 재료(사체의 보존, 사용하는 약제에 의해서 특징지어진 소독 A01N ; 식품 또는 식료품의 보존, 예. 살균, A23 ; 의료용, 치과용 또는 화장용 제제 A61K ) [4]","METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL ; DISINFECTION, STERILISATION, OR DEODORISATION OF AIR ; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES ; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES preservation of bodies or disinfecting characterised by the agent employed A01N preserving, e.g. sterilising, food or foodstuffs A23 preparations for medical, dental or toilet purposes A61K", 
A61M,Subclass,"인체 내부 또는 표면에 매체를 도입하기 위한 장치 (동물의 체내 또는 표면에 매체를 도입하는 것 A61D-007/00 ; 탐폰 삽입수단 A61F-013/26 ; 음식물 또는 약의 경구투여 장치 A61J ; 혈액 또는 의료용 액체를 수집, 저장 또는 처리하기 위한 용기 A61J 1/05); 인체용의 매체를 교환하는 또는 인체로부터 매체를 제거하기 위한 용구 (수술 A61B ; 수술용 물품의 화학적 사항 A61L ); 신체 내부에 배치된 자성요소를 이용한 자석요법 A61N-002/10 ); 수면 또는 무감각(STUPOR, 인사불성)을 일으키거나 종료하기 위한 장치 [4,5]","DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY introducing media into or onto the bodies of animals A61D-007/00 means for inserting tampons A61F-013/26 devices for administering food or medicines orally A61J containers for collecting, storing or administering blood or medical fluids A61J-001/05 ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY surgery A61B chemical aspects of surgical articles A61L magnetotherapy using magnetic elements placed within the body A61N-002/10 ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR", 
A61N,Subclass,"전기치료; 자기치료; 방사선치료; 초음파치료(생체전류의 측정 A61B ; 신체로부터 또는 신체로 비기계적(비기계적) 형태의 에너지를 이송하기 위한 수술용 기기, 용구 또는 방법 A61B 18/00; 마취장치 일반 A61M ; 백열램프 H01K ; 가열용의 적외선방열기 H05B )","ELECTROTHERAPY ; MAGNETOTHERAPY ; RADIATION THERAPY ; ULTRASOUND THERAPY measurement of bioelectric currents A61B surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body A61B-018/00 anaesthetic apparatus in general A61M incandescent lamps H01K infra-red radiators for heating H05B", 
A61P,Subclass,화합물 또는 의약품 제제의 특정한 치료효과,SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS, 
A61Q,Subclass,화장품 또는 유사 화장품 제제의 특정한 용도,SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS, 
A62,Class ,인명구조; 소방,LIFE-SAVING ; FIRE-FIGHTING, 
